Name,Year,Team,Age,Pos.,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144
김재호,2022,두산,37,3B,7,4,34.0,,3.44,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.79,,0.03,1.55,2.19
김재호,2022,두산,37,SS,98,61,580.0,0.0,4.58,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.3,,0.48,0.75,1.05
김재호,2023,두산,38,3B,1,0,2.0,0.0,4.5,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.3,,-0.49,-0.79,-1.25
김재호,2023,두산,38,SS,86,71,611.1,0.0,4.2,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,7.18,,-0.45,6.87,10.87
김재호,2024,두산,39,SS,7,5,41.0,0.0,3.29,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-2.2,,0.16,-1.36,-28.03
허경민,2022,두산,32,2B,1,0,2.0,,9.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.23,,0.0,0.23,0.27
허경민,2022,두산,32,3B,120,117,976.1,0.0,2.48,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-14.19,,0.36,-13.74,-16.35
허경민,2023,두산,33,3B,126,116,997.2,0.0,2.21,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.55,,2.28,7.62,8.44
허경민,2024,두산,34,3B,43,42,339.1,0.0,2.44,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4.09,,0.26,4.34,14.22
서건창,2022,LG,33,2B,63,54,474.0,0.0,4.8,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-6.43,,0.07,-6.29,-11.77
서건창,2023,LG,34,2B,35,25,237.0,0.0,4.33,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.65,,-1.62,-4.59,-15.03
서건창,2024,KIA,35,1B,18,9,101.0,0.0,7.93,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.45,,0.24,-1.22,-5.01
서건창,2024,KIA,35,2B,17,7,73.2,0.0,4.64,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.18,,0.27,0.3,1.25
류지혁,2022,KIA,28,1B,36,14,158.0,0.0,9.11,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.1,,0.12,2.52,2.86
류지혁,2022,KIA,28,2B,2,0,7.0,,12.86,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.41,,0.01,0.42,0.48
류지혁,2022,KIA,28,3B,103,93,785.2,0.0,2.3,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-7.49,,-0.29,-8.05,-9.13
류지혁,2023,삼성,29,1B,26,20,176.0,,8.74,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.13,,0.4,0.32,0.35
류지혁,2023,삼성,29,2B,11,6,56.0,,4.98,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.65,,0.2,0.63,0.68
류지혁,2023,삼성,29,3B,44,35,288.0,0.0,2.19,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.26,,0.45,-1.15,-1.25
류지혁,2023,KIA,29,1B,5,2,18.0,,6.5,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.22,,0.04,-0.18,-0.19
류지혁,2023,KIA,29,2B,7,7,52.0,,5.02,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.88,,0.19,-1.97,-2.15
류지혁,2023,KIA,29,3B,55,48,402.2,0.0,2.46,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-4.67,,0.33,-5.44,-5.93
류지혁,2024,삼성,30,1B,4,1,10.0,,2.7,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.66,,0.02,-0.64,-3.82
류지혁,2024,삼성,30,2B,18,14,117.1,0.0,2.91,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.51,,0.44,0.94,5.67
류지혁,2024,삼성,30,3B,5,4,34.1,,2.62,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.43,,0.13,-0.82,-4.9
오재일,2022,삼성,36,1B,119,112,949.0,0.0,9.09,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.08,,0.71,-0.53,-0.56
오재일,2023,삼성,37,1B,88,80,700.0,0.0,9.12,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,9.54,,0.11,10.25,13.92
오재일,2024,삼성,38,1B,8,8,62.2,,9.19,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.17,,0.15,-1.02,-11.27
강민호,2022,삼성,37,C,95,84,714.1,0.0,7.4,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.51,,0.73,-9.52,-10.54
강민호,2023,삼성,38,C,101,94,786.2,0.0,7.18,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.48,,0.61,-7.17,-8.27
강민호,2024,삼성,39,C,38,27,254.0,0.0,8.19,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.49,,0.62,0.81,2.78
강백호,2022,KT,23,1B,16,13,111.0,0.0,7.95,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.98,,0.08,1.21,2.81
강백호,2023,KT,24,1B,6,6,51.0,,8.65,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.29,,0.12,-0.17,-0.35
강백호,2024,KT,25,C,11,7,66.0,0.0,9.14,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.07,,-0.71,-3.13,-10.47
김강민,2022,SSG,40,CF,60,35,341.0,38.1,2.24,0,0,17,0.0,0,6,0.0,0,1,0.0,12,24,0.0,0,12,0.0,1,3,0.0,0.82,0.5,0.47,1.79,3.07
김강민,2023,SSG,41,CF,33,22,202.1,45.3,2.67,3,0,12,0.0,0,6,0.0,1,6,16.7,6,19,16.7,0,8,16.7,1,2,16.7,-0.56,0.6,0.27,0.31,0.64
김강민,2024,한화,42,CF,11,6,58.0,8.3,2.17,0,0,1,0.0,0,0,,0,0,,4,7,,0,4,,0,0,,-1.1,-0.52,0.09,-1.54,-15.82
김헌곤,2022,삼성,34,LF,25,9,104.0,42.1,2.25,4,0,6,0.0,0,1,0.0,0,1,0.0,1,7,0.0,0,2,0.0,0,2,0.0,-0.33,0.48,0.16,0.31,0.55
김헌곤,2023,삼성,35,LF,4,0,4.0,0.0,0.0,0,0,0,,0,0,,0,0,,1,3,,0,1,,0,0,,-1.28,0.19,0.01,-1.08,-25.89
김헌곤,2024,삼성,36,LF,25,5,80.1,31.6,2.46,0,0,6,0.0,0,0,,0,0,,1,6,,0,2,,0,5,,-1.77,0.18,0.08,-1.52,-5.75
김현수,2022,LG,34,LF,96,94,802.1,35.5,1.97,4,1,33,3.0,0,5,0.0,0,12,0.0,14,56,0.0,0,16,0.0,8,17,0.0,-3.32,-1.33,0.24,-4.4,-4.5
김현수,2023,LG,35,1B,10,10,68.1,0.0,8.43,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.37,,-0.34,2.03,2.19
김현수,2024,LG,36,1B,5,0,8.0,,7.88,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.23,,0.02,-0.2,-0.69
문성현,2023,키움,32,P,31,0,28.1,,1.59,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,0.0,0.0
문성현,2024,키움,33,P,17,0,17.1,,1.04,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,0.0,0.0
박병호,2022,KT,36,1B,107,105,873.0,0.0,9.64,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,15.02,,0.17,14.98,17.39
박병호,2023,KT,37,1B,92,89,730.1,0.0,9.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,13.54,,1.66,15.0,16.36
박병호,2024,KT,38,1B,29,20,201.1,0.0,8.23,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.89,,0.51,-0.39,-1.47
박해민,2022,LG,32,1B,1,0,1.0,,9.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.34,,0.0,0.34,0.34
박해민,2023,LG,33,CF,142,136,1187.2,43.2,2.58,2,0,76,0.0,0,28,0.0,1,13,7.7,39,89,7.7,0,46,7.7,13,16,7.7,20.03,0.81,0.12,20.96,20.96
박해민,2024,LG,34,CF,44,41,350.0,41.4,2.31,1,0,22,0.0,0,9,0.0,0,5,0.0,12,34,0.0,0,14,0.0,2,3,0.0,1.91,0.16,0.51,2.59,8.48
배정대,2022,KT,27,CF,144,134,1195.2,37.0,2.39,5,1,63,1.6,0,19,0.0,0,9,0.0,33,87,0.0,0,45,0.0,14,20,0.0,-3.74,1.16,0.21,-2.37,-2.37
배정대,2023,KT,28,CF,97,93,800.0,42.8,2.84,6,1,38,2.6,0,20,0.0,2,10,20.0,27,48,20.0,0,32,20.0,5,10,20.0,-4.27,1.75,1.08,-1.45,-2.15
배정대,2024,KT,29,CF,14,14,119.0,34.3,2.65,0,0,6,0.0,0,3,0.0,0,3,0.0,4,12,0.0,0,6,0.0,2,4,0.0,-4.98,0.01,-0.32,-5.29,-54.4
손아섭,2022,NC,34,RF,108,108,894.2,35.8,2.01,7,2,36,5.6,0,19,0.0,1,7,14.3,22,61,14.3,0,26,14.3,2,21,14.3,8.98,0.69,0.13,9.8,10.23
손아섭,2023,NC,35,LF,9,9,66.1,22.2,2.17,1,0,0,,0,1,0.0,0,1,0.0,1,4,0.0,0,1,0.0,1,2,0.0,-0.31,0.3,0.12,0.12,0.12
손아섭,2024,NC,36,LF,3,3,24.0,22.2,2.25,0,0,1,0.0,0,1,0.0,0,0,,2,4,,0,2,,0,1,,0.84,0.12,0.02,0.98,3.52
송성문,2022,키움,26,1B,1,0,2.0,,13.5,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.35,,0.0,0.36,0.36
송성문,2023,키움,27,1B,26,18,145.2,0.0,9.02,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.37,,-0.16,2.21,3.06
송성문,2024,키움,28,1B,8,2,31.0,,7.55,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-2.17,,0.08,-2.1,-7.36
이용규,2022,키움,37,LF,60,56,442.1,35.6,1.85,2,0,20,0.0,0,8,0.0,0,4,0.0,12,28,0.0,0,15,0.0,2,13,0.0,-1.7,-0.12,-0.3,-2.12,-3.54
이용규,2023,키움,38,LF,33,28,244.2,25.0,1.8,0,0,6,0.0,0,4,0.0,0,2,0.0,5,23,0.0,0,8,0.0,1,5,0.0,-2.09,0.15,0.45,-1.49,-4.29
이용규,2024,키움,39,LF,10,9,79.2,36.8,2.49,0,0,5,0.0,0,1,0.0,0,1,0.0,2,7,0.0,0,3,0.0,0,2,0.0,1.39,0.29,0.07,1.76,10.54
장성우,2022,KT,32,C,101,87,763.2,0.0,8.25,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.33,,-0.09,7.21,8.87
장성우,2023,KT,33,C,116,104,886.0,0.0,7.74,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.62,,-0.12,2.84,3.13
장성우,2024,KT,34,C,35,32,253.2,0.0,8.52,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.62,,1.12,2.54,9.16
정훈,2022,롯데,35,1B,77,74,614.2,0.0,8.84,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.09,,-0.02,2.28,3.61
정훈,2023,롯데,36,1B,65,47,410.1,0.0,8.05,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-10.7,,0.44,-10.56,-19.0
정훈,2024,롯데,37,1B,26,24,206.0,0.0,8.87,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-3.31,,0.02,-3.28,-13.13
최주환,2022,SSG,34,1B,24,18,157.2,0.0,8.96,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-1.27,,-1.33,-2.41,-3.58
최주환,2023,SSG,35,1B,47,34,293.0,0.0,8.97,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-2.72,,-0.32,-2.86,-3.08
최주환,2024,키움,36,1B,29,28,250.1,0.0,8.81,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.79,,0.14,0.92,4.13
허도환,2022,LG,38,C,63,27,254.2,,7.92,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.01,,0.78,-4.32,-9.72
허도환,2023,LG,39,C,45,21,212.0,,7.47,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.1,,0.56,-5.3,-16.25
허도환,2024,LG,40,C,15,6,56.2,0.0,8.42,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.04,,-0.25,-0.76,-7.27
황재균,2022,KT,35,1B,2,1,7.0,,6.43,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.03,,0.01,0.04,0.04
황재균,2023,KT,36,3B,107,103,895.0,0.0,2.45,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.14,,0.46,4.98,6.58
황재균,2024,KT,37,1B,1,0,1.0,,18.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.78,,0.0,0.78,2.69
